	"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
190АС.1.1	Подготовительный этап	Очистка площадки от мусора	576	0	576	м2	0,0391
190АС.2.3	Демонтажные работы	Установка и разборка внутренних трубчатых инвентарных лесов (высота до 8 м)	1000	0	1000	м2	0,916
190АС.2.4	Демонтажные работы	Устранение нарушений по бетонным конструкциям фундаменты Фом 5 (отсутствие защитного бетонного слоя) фото	2	0	2	м2	1,02
190АС.4.7	Земляные работы	Вертикальная планировка по периметру позиции вручную (стесненные условия)	212	0	212	м2	0,1173
190АС.5.13	Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом 1 при помощи ремонтных смесей	13,96	0	13,96	м2	1,14
190АС.5.14	Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом Фом 2 при помощи ремонтных смесей	2,88	0	2,88	м2	1,14
190АС.5.15	Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом 3 при помощи ремонтных смесей	7,1	0	7,1	м2	1,14
190АС.5.16	Восстановление фундаментов	Восстановление фундаментов (раковины и некачественный ремонт раствором) Фом 4 при помощи ремонтных смесей	7,1	0	7,1	м2	1,14
190АС.5.17	Восстановление фундаментов	Устройство изоляции слоем битумного праймера подземной части фундаментов	121,5	0	121,5	м2	0,034
190АС.5.18	Восстановление фундаментов	Устройство боковой обмазочной изоляции стен горячим битумом за 2 раза	121,5	0	121,5	м2	0,39
190АС.6.19	Монолитная плита ПМ1	Шлифование бетона алмазной чашкой, плиты монолитной ПМ 1 (подготовка бетона под стяжку)	686	0	686	м2	0,17
190АС.6.20	Монолитная плита ПМ1	Устройство подливки толщиной 20 мм (дополнительные сметные зоны)	30,6	0	30,6	м2	0,28
190АС.6.21	Монолитная плита ПМ1	На каждые 10 мм изменения толщины подливки добавлять к норме (утолщение зон)	30,6	0	30,6	м2	0,04
190АС.6.22	Монолитная плита ПМ1	Устройство уклонообразующей стяжки из бетона В12,5 толщиной 20-100 мм (уклон 0,005)	576	0	576	м2	0,26
190АС.6.23	Монолитная плита ПМ1	Устройство стяжек на каждые 5 мм изменения толщины стяжки (утолщение до 65 мм)	576	0	576	м2	0,011
190АС.6.24	Монолитная плита ПМ1	Гидроизоляция поверхности уклонообразующей стяжки составом Пенетрон в два слоя	576	0	576	м2	0,086
190АС.6.25	Monолитная плита ПМ1	Устройство подливки толщиной 20 мм под оборудование	0,25	0	0,25	м2	0,28
190АС.6.26	Монолитная плита ПМ1	Гидроизоляция боковой поверхности ПМ1 в два слоя битумной мастикой (высота 0,3м)	33	0	33	м2	0,39
190АС.10.51	Окраска металлоконструкций	Очистка поверхности металлических конструкций от лакокрасочных покрытий смывкой	3,7	0	3,7	м2	0,48
190АС.10.52	Окраска металлоконструкций	Струйная очистка металлоконструкций до степени Sa 2 1/2 по ISO 8501-1:2007	345	0	345	м2	0,38
190АС.10.53	Окраска металлоконструкций	Очистка поверхности металлических конструкций щетками вручную	8,9	0	8,9	м2	0,17
190АС.10.54	Окраска металлоконструкций	Обеспыливание проектной поверхности металлоконструкций перед грунтованием	354	0	354	м2	0,028
190АС.10.55	Окраска металлоконструкций	Обезжиривание металлических проектных поверхностей растворителем Р5	354	0	354	м2	0,084
190АС.10.57	Окраска металлоконструкций	Устройство антикоррозионного покрытия полиуретановой эмалью "СпецПротект 109" в 2 слоя (100 мкм)	354	0	354	м2	0,18
190АС.10.58	Окраска металлоконструкций	Окраска металлических огрунтованных поверхностей: эмалью ЭП-1236	378	0	378	м2	0,11
190АС.11.59	Общестроительные работы	Общестроительные работы по благоустройству площадки: Устройство покрытия площадки из сборных бетонных плит 6К7	106	0	106	м2	0,59
202АС.1.61	Подготовительный этап	Очистка площадки от мусора	576	0	576	м2	0,0391
202АС.1.62	Подготовительный этап	Отбивка штукатурки с поверхностей: стен и потолков кирпичных	650	0	650	м2	0,26
202АС.1.63	Подготовительный этап	Протравка цементной штукатурки нейтрализующим раствором (Очистка от грибка и плесени)	250,3	0	250,3	м2	0,031
202АС.1.64	Подготовительный этап	Очистка швов плит покрытия от грибка и плесени специальными химическими материалами	125	0	125	м2	0,085
202АС.2.65	Демонтажные работы	Разборка покрытий кровель: из рулонных материалов	391	0	391	м2	0,154
202АС.2.66	Демонтажные работы	Разборка покрытий полов: цементных толщиной 150 мм	391	0	391	м2	1,82
202АС.2.67	Демонтажные работы	Разборка теплоизоляции на кровле из: ваты минеральной толщиной 100 мм	391	0	391	м2	0,11
202АС.2.68	Демонтажные работы	Демонтаж покрытия систем фальшполов из ДСП панели: размером 600х600 мм	37,84	0	37,84	м2	0,18
202АС.2.69	Демонтажные работы	Демонтаж покрытия площадки из сборных бетонных плит тротуарного типа 6К7 с заполнением швов цементно-песчаной смесью 1:10	91	0	91	м2	0,24
202АС.2.73	Демонтажные работы	Демонтаж наружной облицовки поверхности стен сайдингом металлическим с каркасом и теплоизоляцией	28	0	28	м2	0,29
202АС.2.76	Демонтажные работы	Демонтаж существующей отделки помещений	1124	0	1124	м2	0,22
202АС.2.80	Демонтажные работы	Демонтаж треснувших покрытия из плиток керамических на плиточном клее Глимс-96	5	0	5	м2	0,14
202АС.4.91	Земляные работы	Устройство основания из грунта/песка с уплотнением для монтажа покрытия площадки из сборных бетонных плит 6К7	91	0	91	м2	0,04
202АС.6.100	Кровля (Изоляция)	Устройство выравнивающих стяжек цементно-песчаных: толщиной 15 мм	391	0	391	м2	0,146
202АС.6.101	Кровля (Изоляция)	Обработка поверхностей парапета и кровли противогрибковыми химическими составами	400	0	400	м2	0,048
202АС.6.102	Кровля (Изоляция)	Огрунтовка оснований из бетона или раствора под водоизоляционный кровельный ковер готовой эмульсией битумной	391	0	391	м2	0,031
202АС.6.103	Кровля (Изоляция)	Устройство пароизоляции прокладочной в один слой изола	391	0	391	м2	0,11
202АС.6.104	Кровля (Изоляция)	Утепление кровли минераловатными плитами ТЕХНОРУФ 70 толщ.120мм	391	0	391	м2	0,18
202АС.6.105	Кровля (Изоляция)	Устройство выравнивающих стяжек: цементно-песчаных толщиной 15 мм	391	0	391	м2	0,146
202АС.6.107	Кровля (Изоляция)	Устройство пароизоляции прокладочной в один слой из пергамина	391	0	391	м2	0,045
202АС.6.108	Кровля (Изоляция)	Огрунтовка оснований из бетона или раствора под водоизоляционный ковер битумной эмульсией	391	0	391	м2	0,031
202АС.6.109	Кровля (Изоляция)	Устройство рулонной кровли из 2-х слоев "Унифлекс" ТПП и 1 слоя Унифлекс ЭКП	1172	0	1172	м2	0,245
202АС.6.110	Кровля (Изоляция)	Устройство выравнивающих стяжек цементно-песчаных: добавлять на каждый 1 мм изменения толщины (добавить 10 мм до общей 25 мм)	390,6	0	390,6	м2	0,0062
202АС.6.111	Кровля (Изоляция)	Устройство выравнивающих стяжек цементно-песчаных: добавлять на каждый 1 мм изменения толщины к 12-01-017-01 (добавить 45 мм для уклона)	390,6	0	390,6	м2	0,0117
202АС.6.113	Кровля (Изоляция)	Установка пароизоляционного слоя из: пленки полиэтиленовой (без стекловолокнистых материалов)	160	0	160	м2	0,034
202АС.7.115	Кровельные примыкания	Устройство мелких покрытий (брандмауэры, парапеты, свесы) из листовой оцинкованной стали	228,3	0	228,3	м2	0,74
202АС.7.116	Кровельные примыкания	Герметизация узлов проходов коммуникаций в кровле герметизирующей кровельной лентой	14	0	14	м2	0,32
202АС.8.124	Стены и перегородки	Штукатурка по сетке без устройства каркаса: улучшенная стен	40	0	40	м2	1,15
202АС.8.125	Стены и перегородки	Штукатурка поверхностей внутри здания цементно-известковым раствором: простая стен	1307	0	1307	м2	0,65
202АС.8.126	Стены и перегородки	Штукатурка по сетке без устройства каркаса улучшенная стен (Объединенная противопожарная стена)	428,7	0	428,7	м2	1,15
