"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (32х3) 	1,51	0	1,51	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (32х3) 	0,81	0	0,81	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 50 мм (32х3) 	0,01	0	0,01	100 м	2,1
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 50 мм (57х4) 	0,938	0	0,938	100 м	1,58
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 1,2 МПа) условным диаметром до 50 мм (57х4) 	0,332	0	0,332	100 м	2,1
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 100 мм (89х4) 	0,227	0	0,227	100 м	1,98
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов высокого давления (до 0,6 МПа) условным диаметром до 100 мм (89х4) 	0,2432	0	0,2432	100 м	2,4
Дополнительное испытание на герметичность	Подъем давления при испытании воздухом газопроводов низкого и среднего давления (до 0,3 МПа) условным диаметром до 200 мм (219х7) 	0,055	0	0,055	100 м	2,64
Монтаж трубопроводов и арматуры	Трубопровод диаметр труб  32 мм 	5,472	0	5,472	100 м	26
Монтаж трубопроводов и арматуры	Трубопровод диаметр труб наружный 89 мм 	0,471	0	0,471	100 м	45
Монтаж трубопроводов и арматуры	Трубопровод  диаметр труб наружный 57 мм 	0,846	0	0,846	100 м	33
Монтаж трубопроводов и арматуры	Трубопровод  диаметр труб наружный 57 мм 	0,33	0	0,33	100 м	33
Монтаж трубопроводов и арматуры	Трубопровод, диаметр труб наружный 18 мм 	0,005	0	0,005	100 м	24
Монтаж трубопроводов и арматуры	Трубопровод  диаметр труб 219 мм 	0,055	0	0,055	100 м	96
Монтаж арматуры и трубопроводов	Трубопроводы в помещениях или на открытых площадках в пределах цехов, монтируемые из труб и готовых деталей, на условное давление не более 2,5 МПа. Диаметр наружный, мм : 57, толщина стенки 4 мм	0,411	0	0,411	100 м	33
Монтаж арматуры и трубопроводов	Трубопроводы в помещениях или на открытых площадках в пределах цехов, монтируемые из труб и готовых деталей, на условное давление не более 2,5 МПа. Диаметр наружный, мм : 89, толщина стенки 3 мм (Ду89	0,6539	0	0,6539	100 м	45
Монтаж арматуры и трубопроводов	Трубопроводы в помещениях или на открытых площадках в пределах цехов, монтируемые из труб и готовых деталей, на условное давление не более 2,5 МПа. Диаметр наружный, мм : 108, толщина стенки 4 мм (Ду1	0,2578	0	0,2578	100 м	51
Монтаж арматуры и трубопроводов	Трубопроводы в помещениях или на открытых площадках в пределах цехов, монтируемые из труб и готовых деталей, на условное давление не более 2,5 МПа. Диаметр наружный, мм : 159, толщина стенки 4 мм (Ду1	0,09	0	0,09	100 м	74
Монтаж арматуры и трубопроводов	Трубопроводы в помещениях или на открытых площадках в пределах цехов, монтируемые из труб и готовых деталей, на условное давление не более 2,5 МПа. Диаметр наружный, мм : 219, толщина стенки 6 мм (Ду2	0,0146	0	0,0146	100 м	96
