"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
Земляные работы	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов: 2	29	0	29	м3	15,35
Земляные работы	Завоз грунта при помощи самосвалов	100	0	100	м3	0,076
Земляные работы	Устройство подстилающих и выравнивающих слоев оснований: из щебня	11	0	11	м3	1,22
Земляные работы	Устройство подстилающих и выравнивающих слоев оснований: из песка	11	0	11	м3	0,95
Восстановление фундаментов	Заделка отверстий, гнезд и борозд в железобетонных перекрытиях площадью до 0,1 м2	0,003	0	0,003	м3	42,9
Земляные работы	Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов: 2	37,3	0	37,3	м3	15,35
Земляные работы	Разработка грунта с погрузкой на автомобили-самосвалы в котлованах (Погрузка грунта от ручной разработки)	37,3	0	37,3	м3	0,064
Земляные работы	Устройство основания под фундаменты: песчаного	8,88	0	8,88	м3	0,95
Земляные работы	Устройство основания под фундаменты: щебеночного	6,21	0	6,21	м3	1,22
Земляные работы	Устройство подстилающих и выравнивающих слоев оснований из цементно-песчаной смеси 1:10	10,6	0	10,6	м3	1,18
Земляные работы	Устройство основания под фундаменты: щебеночного (в контуре крылец)	1	0	1	м3	1,22
Фундаментные работы	Устройство фундаментных плит бетонных плоских (Отмостка шириной 1000 мм)	9	0	9	м3	2,34
Фундаментные работы	Устройство монолитных бетонных бортиков В7,5	2,6	0	2,6	м3	4,62
Кровля (Изоляция)	Изоляция покрытий и перекрытий изделиями из волокнистых и зернистых материалов насухо	7,1	0	7,1	м3	0,66
Стены и перегородки	Утепление узлов примыкания минераловатными плитами	0,2	0	0,2	м3	1,32
Козырьки и крыльца	Заделка отверстий, гнезд и борозд: в перекрытиях ж/б площадью свыше 0,1 до 0,2 м2	0,001	0	0,001	м3	34,1
Козырьки и крыльца	Установка элементов каркаса: из брусьев	0	0	0	м3	6,45
Крыльца и отмостка	Устройство песчано-цементного слоя для монтажа покрытия площадки из сборных бетонных плит тротуарного типа 6К7	11	0	11	м3	1,18
Земляные работы	Разработка котлована	40	0	40	м3	0,045
Земляные работы	Разработка котлована вручную	6	0	6	м3	16,8
Земляные работы	Погруза грунта в а/м самосвалы вручную	6	0	6	м3	0,62
Фундаментные работы	Устройство бетонной подготовки под фундаменты	2	0	2	м3	1,37
Фундаментные работы	Изготовление и бетонирование фундаментов (Фм4 - 4 шт, Фм1 - 2 шт, Фм6 - 5 шт, Фм3 - 2 шт) (поз.191-193-194)	17,99	0	17,99	м3	4,22
Земляные работы	Обратная засыпка котлованов с уплотнением	20	0	20	м3	0,028
Земляные работы	Обратная засыпка котлованов вручную с уплотнением	6	0	6	м3	2,04
Земляные работы	Разработка котлована под фундаменты Ф1 - 3шт. (усасток эстакады 5-6)	24	0	24	м3	0,045
Земляные работы	Разработка котлована под фундамент Ф2 экскаватором с вывозом (участок эстакады АС7) - 7шт. (вдоль поз.193, поз.194)	58,8	0	58,8	м3	0,045
Земляные работы	Разработка котлована под фундамент Ф2 вручную (2.0х2.0м.) - 7шт. (вдоль поз.193, поз.194)	5,88	0	5,88	м3	16,8
Земляные работы	Устройство основания щебеночного толщ. 100мм. (2.0х2.0м.) - 7шт. (вдоль поз.193, поз.194)	2,8	0	2,8	м3	1,22
Фундаментные работы	Устройство бетонной подготовки под фундаменты Ф1 - 3шт. (усасток эстакады 5-6)	0,6	0	0,6	м3	1,37
Фундаментные работы	Изготовление подбетонки толщ. 100мм. (1,4х1,4м.) - 7шт. (вдоль поз.193, поз.194)	2,03	0	2,03	м3	1,37
Фундаментные работы	Изготовление ж/б фундаментов Ф1 - 3шт. (усасток эстакады 5-6)	3,15	0	3,15	м3	4,22
Фундаментные работы	Изготовление и монтаж ж/б фундамента Ф2 - 7шт. (вдоль поз.193, поз.194)	21,84	0	21,84	м3	4,22
